State ,India,Andaman and Nicobar,Andhra Pradesh,Assam,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Karnataka,Kerala,Lakshadweep,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,West Bengal,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Arunachal Pradesh,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Daman and Diu,Jharkhand,Madhya Pradesh,Puducherry,Uttar Pradesh,Uttarakhand
1993,1180.23,2048.36,812.29,3751.11,525.51,2446.56,533.93,509.24,1209.82,1150.49,2483.98,1456.78,1244.29,2357.24,4251.42,2211.46,2993.97,1368.86,677.96,380.45,3328.26,1100.29,2968.35,2210.62,419.09,859.6,1560.22,1885.5,2121.21,1564.44,2738.63,1687.43,1735.25,1717.75,3410.2,1289.04,780.8,1223.17,1808.06,725.84,1219.71,1080.51,1749.08,951.92,1760.91
1994,1278.73,2277.01,909.7,2909.24,663.29,3197.61,816.98,756.87,1799.99,1140.92,2577.38,1430.18,1294.07,2087.82,2889.34,1946.6,2448.73,2013.14,950.28,585.95,3147.77,1014.07,2025.35,1749.2,526.01,1023.33,2017.54,2335.89,2624.22,1980.77,3391.7,1794.96,2144.29,2170.02,2850.66,1105.04,1157.32,1999.28,1548.03,824.41,1479.99,1202.67,1536.42,894.17,1899.55
1995,1191.35,2108.54,987.2,3663.02,802.68,2344.02,372.51,831.21,1595.79,1025.05,2467.6,1385.84,1045.03,2212.62,3880.78,1913.26,2792.07,1563.17,1044.56,502.88,3605.93,985.42,2227.05,2048.42,469.96,931.91,1895.37,2215.04,2523.83,1754.41,3294.65,1782.18,1969.97,2064.45,3751.45,1473.52,1351.79,1387.31,1005.58,413.73,1317.16,949.67,1396.01,968.5,1840.49
1996,1197.29,2256.43,1002.58,3179.09,917.38,2526.54,484.98,790.55,1469.99,1265.97,2699.46,1513.86,997.84,2140.3,3423.63,2228.72,2505.79,1009.96,917.12,540.17,3511.38,1265.95,2306.86,1866.7,494.75,1034.3,1958.84,2097.69,2401.23,1734.6,3044.82,1456.23,1710.58,1898.3,3640.86,1374.6,997.45,1076.07,1265.63,755.73,1257.47,1104,1912.6,1289.47,1885.43
1997,1212.49,1824.16,728.39,2955.71,943.25,2536.59,725.72,897.69,1519.46,990.41,2457.24,1644.87,1082.17,2063.24,2991.69,1861.14,2487.38,1391.33,1039.16,513.03,3504.43,1054.69,2094.83,2019.77,405.07,712.59,1500.62,1884.95,2107.38,1572.25,2784.35,1685.91,1930.36,1862.02,3053.39,1508.93,1121.97,1403.39,1232.61,644.11,1489.12,1353.78,1481.24,1218.39,1799.08
1998,1209.71,2321.32,1013.04,3074.72,909.29,2703.28,646.91,842.11,1375.07,1210.25,2613.82,1800.94,1145.4,2293.79,3456.77,2177.96,2616.7,1456.16,949.69,436.82,3735.98,1070.73,2707.98,1914.39,423.97,740.9,1366.81,1599.42,1860.06,1358.59,2490.58,1393.98,1505.4,1480.14,4170.66,1470.85,1245.24,1448.26,1314.65,842.98,1329.64,956.09,1676.67,1138.73,1790.2
1999,1093.51,2460.32,713.7,2944.25,642.5,2349.08,416.58,536.26,1147.4,1001.33,2388.65,1657.05,1116.7,2243.21,3307.25,1888.06,2453.81,1385.07,601.7,339.64,2989.82,910.25,2002.45,1903.23,428.34,777.22,1466.38,1622.51,1937.13,1316.13,2641.6,1162.58,1273.26,1509.11,2896.35,1607.02,645.41,1407.39,1305.71,537.84,1404.15,1079.46,1403.37,930.25,1562
2000,1085.47,2573.98,1014.65,3074.54,654.56,2426.4,409.3,533.23,1136.33,1196.87,2295.38,1244.53,1104.42,2082.52,3575.71,1950,2730.45,1261.47,596.15,341.9,3531.5,996.86,2000.95,1772.86,401.5,634.9,1274.56,1511.85,1810.89,1177.87,2514.61,1022.62,1357.14,1288.81,3518.08,1419.1,768.26,1199.71,1124.8,474.11,1089.61,823.8,1425.97,919.7,1803.05
2001,1114.7,2265.49,890.16,2825.17,616.11,2080.53,632.55,609.43,1095.54,891.65,2266.55,1484.48,993.56,2201.86,2971.21,1970.95,2572.49,1773.05,726,405.91,3004.63,976.8,2218.87,1793.9,339.31,576.61,1231.71,1496.79,1791.14,1128.21,2482.38,1059.5,1429.89,1257.79,2839.81,1377.56,827.99,1615.2,1534.05,766.09,1245.82,1017.48,1501.32,1002.07,1419.48
2002,1005.77,1856.74,689.9,3157.15,505.29,2083.38,441.92,414.36,1132.82,901.16,2079.97,1456.76,1056.31,2016.9,3754.47,1901.72,2565.4,1267.73,523.68,201.84,3305.27,805.24,2265.48,1966.49,426.73,715.14,1167.72,1347.92,1570.28,1163.18,2075.53,1045.63,1139.53,1242.14,3140.98,1278.5,785.79,1127.2,1390.68,475.13,1320.61,841.94,1259.65,900.19,1653.76
2003,1232.07,2021.21,929.93,2904.01,875.01,2292.11,778.56,773.65,1316.8,905.12,2402.66,1440.42,1042.88,1997.19,3119.29,1873.59,2436.49,1777.87,794.16,483.56,3723.59,913.42,1924,1912.31,417.18,880.73,1660.75,1921.98,2268.45,1583.22,3080.81,1368.15,1594.76,1718.88,2923.55,1608.62,865.67,1796.35,1420.99,764.71,1492.24,1155.73,1371.56,1377.38,1754.81
2004,1110.07,2017.95,875.04,3507.11,558.49,2243.72,798.96,548.67,988.74,1025.55,2513.81,1739.3,1074.28,2014.01,3857.53,2017.14,2748.11,1354.51,576.23,353.82,3445.1,1177.2,2553.51,1803.7,313.27,619,1185.12,1482.81,1743.65,1190.11,2406.45,1078.38,1355.93,1342.94,3641.24,1284.06,595.98,1295.37,1589.45,923.81,1097.02,945.7,1769.43,877.68,1343.75
2005,1161.66,2541.84,1073.02,2462.85,783.9,2902.11,856.43,687.42,1266.61,1260.58,2585.01,1463.38,1208.65,1573.83,2839.02,1589.11,2042.7,1502.68,698.62,350.21,3115.8,1375.95,1791.95,1744.4,380.24,765.47,1533.91,1830.45,2098.58,1475.61,2744.82,1110.36,1439.02,1521.37,2711.37,1157.1,932.47,1416.98,1704.85,1063.8,1095.56,1021.73,1943.72,994.99,1682.16
2006,1184.61,2097.98,1019.99,2173.97,511.16,3431.41,1081.76,490.54,1343.13,1170.58,2653.8,1431.66,1395.71,1549.75,2552.78,1616.48,2017.95,1604.22,638.91,489.56,3055.82,1103.98,1717.68,1556.66,584.33,1036.14,1801.82,2040.52,2304.58,1729.7,2958.99,1455.14,1642.6,1889.53,2652.25,1292.9,646.74,1414.94,2116.24,1007.46,1235.5,1153.97,1621.7,796.95,1441.99
2007,1301.35,2355.5,1104.36,3286.32,649.26,3391.44,1055.02,569.19,1097.1,1394.33,3078.36,1788.26,1244.56,2175.1,3741.04,2306.74,2734.64,1693.25,671.38,460.3,3593.68,1274.31,2433.22,2207.11,344.32,590.55,1173.2,1427.69,1710.9,1102,2376.35,1053.53,1269.73,1271.34,3169.34,1717.76,685.48,1537.48,1769.73,1296.25,1584.55,1016.85,2019.15,1066.8,1728.43
2008,1268.33,2496.04,1067.12,2876.5,815.89,2603.06,813.61,790.22,1401.35,1264.03,2577.41,1731.58,1147.25,1943.95,3103.67,1736.02,2470.8,1664.43,846.44,449.55,3681.32,1312.16,1868.03,2017.54,466.36,768.27,1460.81,1706.25,1963.44,1448.83,2611.35,1418.92,1614.08,1556.32,3125.75,1538.32,1080.37,1433.45,1726.26,1086.42,1424.88,1069.71,1836.18,1407.04,1883.33
