Year,India,Andaman and Nicobar,Andhra Pradesh,Assam,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Karnataka,Kerala,Lakshadweep,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,West Bengal,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Arunachal Pradesh,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Daman and Diu,Jharkhand,Madhya Pradesh,Puducherry,Uttar Pradesh,Uttarakhand
1921,1114.62,2720.35,860.26,2802.54,726.37,2475.98,973.2,590.01,900.8,1126.14,2746.53,1478.8,1086.6,2100.6,4628.89,2898.88,2235.39,1190.98,638.3,481.19,1446.94,1115.68,2802.44,1667.82,200.5,386.96,557.26,630.87,602.09,632.38,603.44,1061.06,1159.69,696.84,2321.78,1248.69,1064.1,1303.36,2384.59,932.48,1292.22,1002.85,1969.79,971.36,1143.12
1922,1136.05,3414.35,746.31,2431.43,814.58,2461.12,671.55,639.15,1063.37,1030.28,3100.39,1856.2,1064.12,1926.3,4357.58,3109.59,1906.41,1349.74,734.1,417.36,1575.32,1180.2,2869.94,2010.52,188.3,347.61,493.85,609.81,576.84,624.72,590.54,1096.82,1217.49,682.66,1757.4,1574.14,1321.2,1382.91,1768.42,626.66,1563.72,1072.3,2167,1184.99,1410.46
1923,1058.07,3165.23,682.86,2351.68,785.99,2841.4,404.41,662.15,1174.07,1182.14,3103.38,1849.7,1049.98,1917.18,3876.16,2758.87,1906.5,1205.87,759.36,444.3,1320.02,877.71,2518.25,1550.25,218.23,444.74,605.41,795.17,750.52,821.33,778.9,1430.24,1528.22,882.49,1919,1123.74,1314.4,1287.99,1753.54,422.14,1230.14,1163.7,2169.35,1022.24,1234.05
1924,1152.86,2606.1,834.43,2851.45,930.82,2759.49,652.38,733.89,1095.22,1113.66,3158.76,1851,1067.94,2135.79,5043.03,3291.8,2258.97,1210.33,750.58,583.99,1497.54,977.7,3147.38,1784.25,187.53,368.89,551.43,689.55,657.94,687.98,689.61,1206.86,1317.69,775.66,2160.88,1396.42,1356.9,1248.69,1883.98,636.24,1313.6,1073.01,1807.33,1166.02,1426.3
1925,1113.68,2541.18,1013.74,2413.99,702.26,2446.42,433.07,563.59,996.95,1091.43,2741.88,1664,934.81,1842.26,4155.83,2899.34,1907.25,1620.65,616.38,316.82,1539.05,1153.47,2641.39,1943.03,183.15,335.14,412.67,558.36,525.55,611.33,555.08,1100.28,1185.17,652.23,1960.79,1459.74,1107.6,1475.32,1272.54,580.33,1412.95,1009.99,2070.23,1220.4,1269.66
1926,1142.19,3133.53,705.23,2175.8,840.79,2649.01,1027.29,695.57,1069.38,1067.47,2766.68,1562.3,1206.43,1754,3594.54,2611.98,1807.53,1553.01,736.43,616.48,1387.88,871.16,2421.28,1801.62,183.05,346,438.02,607.33,566.05,660.49,590.58,1196.08,1310.79,687.33,1837.08,1235.14,1224.1,1470.75,2653.26,1175.34,1329.43,1188.1,1831.77,1009,1221.93
1927,1121.28,2527.77,892.56,2884.81,681.57,2536.66,804.66,527.98,857.96,1031.76,2905.05,1353.4,1154.66,2190.81,5091.78,3218.22,2283.29,1470.89,538.42,479.4,1377.7,864.64,3101.09,1582.88,164.57,303.64,380.67,500.21,467.98,539.88,476.52,909.87,1022.86,546.5,2197.39,1083.81,981.8,1484.81,1967.29,794.57,1141.46,1034.82,1807.82,1013.03,1204.98
1928,1072.81,3005.61,899.41,2394.74,535.78,2454.21,742.76,471.73,936.34,1071.02,2131.43,1456.4,1175.72,1866.1,3831.6,2847.88,2015.34,1544.26,595.17,416.09,1395.1,987.82,2598.82,1921.92,176.6,334.97,430.82,591.84,548.55,642.16,562.85,1143.63,1257.99,660.82,2138.64,1226,956.5,1332.05,1999.61,739.93,1300.67,992.94,1716.14,768.62,992.76
1929,1076.44,2846.03,762.69,2521.62,544.04,2545.04,633.56,472.56,945.19,1131.53,3096.37,1770.3,993.5,2001.22,4440.19,2952.34,1929.43,1465.19,635.65,385.27,1477.76,1044.34,2737.54,1748.45,172.1,337.87,446.76,604.12,572.94,633.26,613.55,1291.41,1297.13,736.32,1813.81,1357.63,972.9,1442.86,1865.05,689.5,1311.86,983.97,1872.77,978.26,983.08
1930,1061.68,2992.63,979.5,2425.46,708.38,2210.19,702.33,575.22,933.19,1021.7,2508.22,1505.9,1056.55,1991.2,4033.82,2784.41,2014.27,1339.65,605.78,404.15,1322.65,1254.02,2587.68,1580.61,167.83,320.12,431.82,559.69,528.15,590.11,553.8,1071.67,1154,650.6,1998.47,1009.59,1078.8,1221.3,1986.72,800.12,1065.93,989.27,1831.49,982.76,1143.2
1931,1193.76,2605.11,981.95,2363.26,712.38,3348.58,761.01,587.68,915.05,1301.19,2554.33,1533.5,1450.18,1737.75,3734.99,2365.45,1926.72,1396.8,663.22,525.06,1426.56,1040.03,2326.45,1744.74,184.2,373.76,531.22,660.64,628.72,667.43,650.59,1184.87,1265.27,746.03,2155.16,1276.87,1045.9,1498.38,2509.92,754.08,1326.21,1303.58,2224.54,1064.59,1109.82
1932,1121.72,3222.2,851.07,2665.01,626.83,3391.13,758.47,493.57,806.12,1335.57,2930.14,1644.5,1330.07,2099.71,4380.21,3102.27,2141.22,1252.63,527.84,442.81,1289.7,1193.55,2852.06,1553.75,164.71,304.93,398.25,509.18,485.43,538.68,515.66,987.59,1044.66,599.39,2149.86,1049.02,883.4,1359.36,2209.85,851.36,1145.47,1104.15,2073.29,877.79,948.24
1933,1314.9,3099.57,1005.56,2157.44,1034.56,3067.77,1003.41,805.32,1158.95,1475.3,3184.8,1650.5,1538.55,1692.44,3652.51,2447.61,1754.65,1657.16,798.96,659.14,1460.69,1079.45,2361.33,2009.33,200.97,376.02,458.95,635.6,589.63,705.18,609.4,1320.5,1425.91,735.76,1804.07,1390.21,1380.6,1634.54,2385.17,1130.5,1476.62,1369.4,2073.1,1192.63,1585.32
1934,1160.62,3622.33,798.92,3028.76,728.37,2731.95,722.61,589.53,864.08,1014.96,2124.92,1305,1277.79,2269.92,5429.59,3210.71,2240.76,1428.18,539.39,550.04,1439.99,878.83,3337.87,1745.93,172.79,313.65,413.12,511.77,483.92,537.89,493.83,858.31,965.29,566.57,1913.4,1162.42,1060.1,1452.38,1983.3,839.72,1240.47,1342.76,1573.61,973.81,1168.31
1935,1076.62,3159.19,793.41,2339.36,721.19,2082.47,717.27,605.19,957.75,1105.63,2432.08,1489.4,1168.26,1851.96,3990.71,2806.5,1932.47,1104.56,629.51,479.44,1308.02,983.02,2460.91,1489.28,178.95,350.15,510.73,643.11,614.19,643.65,649.52,1128.92,1199.52,727.02,1924.01,1179.4,1097.1,1344.78,1932.1,910.56,1251.56,1165.87,1882.19,1015.6,1075.16
